K1;0.72;103.28;0.72;99
K2;19.77;103.28;19.77;99
K3;38.82;103.28;38.82;99
K4;62.63;103.28;62.63;99
K5;100.73;103.28;100.73;99
K6;119.78;103.28;119.78;99
K7;138.83;103.28;138.83;99
K8;157.88;103.28;157.88;99
K9;186.46;103.28;186.46;99
K10;205.51;103.28;205.51;99
K11;224.56;103.28;224.56;99
K12;243.61;103.28;243.61;99
K13;272.18;103.28;272.18;99
K14;291.23;103.28;291.23;99
K15;310.28;103.28;310.28;99
K16;329.33;103.28;329.33;99
K17;353.15;103.28;353.15;99
K18;372.2;103.28;372.2;99
K19;0.72;79.47;0.72;75.19
K20;19.77;79.47;19.77;75.19
K21;38.82;79.47;38.82;75.19
K22;62.63;79.47;62.63;75.19
K23;81.68;79.47;81.68;75.19
K24;100.73;79.47;100.73;75.19
K25;119.78;79.47;119.78;75.19
K26;138.83;79.47;138.83;75.19
K27;157.88;79.47;157.88;75.19
K28;176.93;79.47;176.93;75.19
K29;195.98;79.47;195.98;75.19
K30;215.03;79.47;215.03;75.19
K31;234.08;79.47;234.08;75.19
K32;253.13;79.47;253.13;75.19
K33;272.18;79.47;272.18;75.19
K34;291.23;79.47;291.23;75.19
K35;319.81;79.47;319.81;75.19
K36;353.15;79.47;353.15;75.19
K37;372.2;79.47;372.2;75.19
K38;0.72;60.42;0.72;56.14
K39;19.77;60.42;19.77;56.14
K40;38.82;60.42;38.82;56.14
K41;67.4;60.42;67.4;56.14
K42;91.21;60.42;91.21;56.14
K43;110.26;60.42;110.26;56.14
K44;129.31;60.42;129.31;56.14
K45;148.36;60.42;148.36;56.14
K46;167.41;60.42;167.41;56.14
K47;186.46;60.42;186.46;56.14
K48;205.51;60.42;205.51;56.14
K49;224.56;60.42;224.56;56.14
K50;243.61;60.42;243.61;56.14
K51;262.66;60.42;262.66;56.14
K52;281.71;60.42;281.71;56.14
K53;300.76;60.42;300.76;56.14
K54;326.95;50.89;326.95;46.61
K55;353.15;60.42;353.15;56.14
K56;372.2;60.42;372.2;56.14
K57;0.72;41.37;0.72;37.09
K58;19.77;41.37;19.77;37.09
K59;38.82;41.37;38.82;37.09
K60;69.78;41.37;69.78;37.09
K61;95.97;41.37;95.97;37.09
K62;115.02;41.37;115.02;37.09
K63;134.07;41.37;134.07;37.09
K64;153.12;41.37;153.12;37.09
K65;172.17;41.37;172.17;37.09
K66;191.22;41.37;191.22;37.09
K67;210.27;41.37;210.27;37.09
K68;229.32;41.37;229.32;37.09
K69;248.37;41.37;248.37;37.09
K70;267.42;41.37;267.42;37.09
K71;286.47;41.37;286.47;37.09
K72;305.52;41.37;305.52;37.09
K73;353.15;41.37;353.15;37.09
K74;372.2;41.37;372.2;37.09
K75;0.72;22.32;0.72;18.04
K76;19.77;22.32;19.77;18.04
K77;38.82;22.32;38.82;18.04
K78;65.01;22.32;65.01;18.04
K79;86.45;22.32;86.45;18.04
K80;105.5;22.32;105.5;18.04
K81;124.55;22.32;124.55;18.04
K82;143.6;22.32;143.6;18.04
K83;162.65;22.32;162.65;18.04
K84;181.7;22.32;181.7;18.04
K85;200.75;22.32;200.75;18.04
K86;219.8;22.32;219.8;18.04
K87;238.85;22.32;238.85;18.04
K88;257.9;22.32;257.9;18.04
K89;276.95;22.32;276.95;18.04
K90;312.66;22.32;312.66;18.04
K91;353.15;22.32;353.15;18.04
K92;0.72;3.27;0.72;-1.01
K93;19.77;3.27;19.77;-1.01
K94;38.82;3.27;38.82;-1.01
K95;65.01;3.27;65.01;-1.01
K96;88.83;3.27;88.83;-1.01
K97;112.64;3.27;112.64;-1.01
K98;184.08;3.27;184.08;-1.01
K99;255.51;3.27;255.51;-1.01
K100;279.33;3.27;279.33;-1.01
K101;303.14;3.27;303.14;-1.01
K102;334.1;3.27;334.1;-1.01
K103;353.15;3.27;353.15;-1.01
K104;372.2;3.27;372.2;-1.01
